
2025-11-25 21:30:05,264 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001)
2025-11-25 21:30:05,266 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001)
2025-11-25 21:30:06,697 - [RAMAF] Congested: fair_rate=3.66Mbps priority_load=0.03
2025-11-25 21:30:06,698 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35458, 5001) rate=5.60Mbps (> 4.39Mbps)
2025-11-25 21:30:06,703 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48418, 5001) rate=5.51Mbps (> 4.39Mbps)
2025-11-25 21:30:06,709 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001) rate=5.38Mbps (> 4.39Mbps)
2025-11-25 21:30:06,714 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46382, 5001) rate=5.63Mbps (> 4.39Mbps)
2025-11-25 21:30:06,718 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46542, 5001) rate=5.68Mbps (> 4.39Mbps)
2025-11-25 21:30:06,723 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001) rate=5.61Mbps (> 4.39Mbps)
2025-11-25 21:30:06,727 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46478, 5001) rate=5.53Mbps (> 4.39Mbps)
2025-11-25 21:30:06,732 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001) rate=5.49Mbps (> 4.39Mbps)
2025-11-25 21:30:06,735 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35484, 5001) rate=5.54Mbps (> 4.39Mbps)
2025-11-25 21:30:06,741 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48102, 5001) rate=5.59Mbps (> 4.39Mbps)
2025-11-25 21:30:06,746 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001) rate=5.60Mbps (> 4.39Mbps)
2025-11-25 21:30:06,751 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35408, 5001) rate=5.49Mbps (> 4.39Mbps)
2025-11-25 21:30:06,756 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35328, 5001) rate=5.65Mbps (> 4.39Mbps)
2025-11-25 21:30:06,758 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001) rate=5.54Mbps (> 4.39Mbps)
